marketcap,volume,timestamp,name,symbol,slug
4118501658.564442,108138542.91188186,,,,tether
3954244776.1947217,224369101.7244379,,,,tether
3691318615.4351854,192131317.27543086,,,,tether
3595176373.231509,358293858.06693363,,,,tether
3548735384.943502,953141249.4492608,,,,tether
3347286698.9067793,204708925.18957132,,,,tether
3189684718.6183667,73418297.50651774,,,,tether
3148426297.6259775,184457450.47044328,,,,tether
3073958017.946327,1939407.275924,,,,tether
2812561356.805537,36269120.44606295,,,,tether
2669994948.930002,346664697.4521099,,,,tether
2643814405.6530614,425419150.411839,,,,tether
2582067473.1871514,180651425.22739786,,,,tether
2532737267.4481664,1422093278.6643248,,,,tether
2355028238.4830484,312317323.1136952,,,,tether
2354298069.3445854,260894594.17577997,,,,tether
2272624498.671368,242096019.77494293,,,,tether
2196327114.651496,9624625.8726399,,,,tether
2168713601.9601483,88534643.95885135,,,,tether
2124175740.0221038,510689237.1034167,,,,tether
2109567674.4398289,423360820.1938019,,,,tether
2090033289.1071994,25652803.98708337,,,,tether
2075650299.5343904,1006700983.8673933,,,,tether
2053682587.902881,48435278.42642944,,,,tether
2013784516.5691607,98155250.30479318,,,,tether
2017918077.6118815,365181640.49238706,,,,tether
2013454785.5708244,112300622.48873642,,,,tether
2009731829.690883,515123665.67111856,,,,tether
1997149542.5552592,163937501.63919982,,,,tether
1995704505.5345712,1883842471.7953923,,,,tether
1957680299.0671782,29158447.26460592,,,,tether
1869245661.2929752,64436358.19761897,,,,tether
1870105879.456251,179687593.24017966,,,,tether
1796823825.5853941,164491883.3511294,,,,tether
1764870593.6422102,7445105.04611538,,,,tether
1707077038.286896,136698612.55799255,,,,tether
1583696412.9678783,622653371.4203516,,,,tether
1544857010.0848784,187010418.34390238,,,,tether
1518490756.6762455,36838043.05236209,,,,tether
1502535868.080719,92350021.38271292,,,,tether
1476109610.3078969,247027659.92627996,,,,tether
1462219448.4666328,28317003.31134208,,,,tether
1436474505.416981,98164480.47216356,,,,tether
1422894000.4517307,176851530.4103087,,,,tether
1396440793.7775245,180749740.02517897,,,,tether
1291278411.2197065,357442924.7033484,,,,tether
1275877286.49501,7454000.79133616,,,,tether
1253697767.8109858,94981407.84024212,,,,tether
1194809796.0419006,7841530.22743828,,,,tether
1181575968.3306777,22557350.94998009,,,,tether
1124032250.0829308,128427793.53145401,,,,tether
1114998235.3094077,235220278.3197254,,,,tether
1091719546.0956903,98445899.1892625,,,,tether
